id,name,category,formula,source_type,source,n_inputs,operates_on,expected_gain,implementation_complexity,sym_robustness_concern,date_robustness_concern,notes
F024,sym_pair_diff_quoteRate,relative,quote_rate_per_sec[i] - same[j],paper,Hasbrouck 1991,2,quote_intensity,low,easy,high,medium,quote intensity diff; high sym variance
F025,sym_pair_diff_tradeRate,relative,trade_rate[i] - trade_rate[j],paper,Easley 2012,2,trade_intensity,low,easy,high,medium,trade rate pair diff
F026,sym_pair_ratio_mid,relative,log(mid[i] / mid[j]),paper,Engle-Granger / Gatev 2006,2,mid_price,high,easy,medium,low,classic pair-trading log price ratio (cointegration)
F027,sym_pair_ratio_vol,relative,log(realized_vol[i] / realized_vol[j]),paper,Bollerslev / Engle GARCH,2,realized_vol,medium,easy,medium,low,relative volatility ratio
F028,sym_pair_ratio_spread,relative,(ask1[i]-bid1[i]) / (ask1[j]-bid1[j]),blog,QuantStrategy.io OB imbalance guide,2,spread,medium,easy,medium,low,relative spread ratio
F029,sym_pair_ratio_depth,relative,depth_lvl5[i] / depth_lvl5[j],paper,Multi-asset commonality Hasbrouck,2,depth_lvl5,medium,easy,medium,low,liquidity ratio between syms
F030,sym_pair_ratio_volume,relative,(bidsz1[i]+asksz1[i]) / (bidsz1[j]+asksz1[j]),paper,Alpha101 #5 (rank ratio),2,size_lvl1,medium,easy,medium,low,top-of-book volume ratio (Alpha101 style)
F031,csec_mean_mid_dev,cross_sectional,mid[i] - mean(mid[k] for k=0..4),paper,Sirignano-Cont 2019 universal,1+5,mid_price,high,easy,low,low,deviation from cross-sym mean (market-neutral pair signal)
F032,csec_median_mid_dev,cross_sectional,mid[i] - median(mid[0..4]),paper,Avellaneda-Lee 2010,1+5,mid_price,medium,easy,low,low,robust to outliers
F033,csec_zscore_mid,cross_sectional,(mid[i] - mean(mid)) / (std(mid)+eps),blog,Quantdare zscore standardization,1+5,mid_price,high,easy,medium,low,cross-sectional z-score (Numerai-style)
F034,csec_zscore_ofi,cross_sectional,(OFI[i] - mean(OFI)) / std(OFI),paper,Cross-Impact 2023,1+5,ofi,high,easy,low,low,z-scored OFI vs market
F035,csec_zscore_wmp,cross_sectional,(wmp[i] - mean(wmp)) / std(wmp),paper,Stoikov 2017 + zscore,1+5,wmp,medium,easy,low,low,z-scored microprice
F036,csec_zscore_realvol,cross_sectional,(RV[i] - mean(RV)) / std(RV),paper,Optiver Kaggle FE,1+5,realized_vol,medium,easy,medium,low,vol z-score across 5 sym
F037,csec_zscore_spread,cross_sectional,(spread[i] - mean(spread)) / std(spread),blog,Quantopian alphalens,1+5,spread,medium,easy,medium,low,liquidity z-score
F038,csec_zscore_intst,cross_sectional,(intst[i] - mean(intst)) / std(intst),paper,VPIN normalized,1+5,intst,medium,easy,medium,low,intensity z-score
F039,csec_zscore_depth,cross_sectional,(depth[i] - mean(depth)) / std(depth),blog,Quantopian Pro Workflow,1+5,depth,medium,easy,medium,low,depth z-score
F040,csec_zscore_imb1,cross_sectional,(imb1[i] - mean(imb1)) / std(imb1),paper,Stoikov microprice + zscore,1+5,imb1,high,easy,low,low,relative imbalance vs market
F041,csec_rank_mid,cross_sectional,rank(mid[i]) across 5 sym / 5,paper,Alpha101 rank operator,1+5,mid_price,medium,easy,low,low,Alpha101-style cross-sec rank
F042,csec_rank_ofi_W20,cross_sectional,rank(OFI_W20[i]) / 5,paper,Alpha101 #6 rank correlation,1+5,ofi_W20,medium,easy,low,low,rank of OFI in cross-section
F043,csec_rank_realvol,cross_sectional,rank(RV[i]) / 5,paper,Alpha101 #22,1+5,realized_vol,medium,easy,low,low,rank of vol cross-sec
F044,csec_rank_spread,cross_sectional,rank(spread[i]) / 5,paper,Alpha101 #51,1+5,spread,low,easy,low,low,rank of spread (most liquid is rank 0)
F045,csec_rank_depth,cross_sectional,rank(depth[i]) / 5,paper,Alpha101 #44,1+5,depth,medium,easy,low,low,rank of depth
F046,csec_rank_kyleinv,cross_sectional,rank(kyleinv[i]) / 5,paper,Alpha101 #71,1+5,kyleinv,low,easy,medium,low,rank of price impact
F047,csec_rank_returns_W20,cross_sectional,rank(logret_W20[i]) / 5,paper,Alpha101 #9 / Krauss 2017,1+5,logret_W20,high,easy,low,low,cross-sectional momentum rank
F048,csec_rank_returns_W60,cross_sectional,rank(logret_W60[i]) / 5,paper,Avellaneda 2010 reversion,1+5,logret_W60,medium,easy,low,low,longer-window cross momentum rank
F049,csec_rank_wmp_change,cross_sectional,rank(delta_wmp_W5[i]) / 5,paper,Alpha101 #3 (rank delta),1+5,delta_wmp,high,easy,low,low,rank of WMP change
F050,csec_rank_intst,cross_sectional,rank(intst[i]) / 5,paper,Alpha101 #45 (volume rank),1+5,intst,medium,easy,low,low,rank of trade intensity
F051,csec_argmax_ofi,cross_sectional,argmax_k(OFI[k]) == i ? 1 : 0,paper,Alpha101 ts_argmax style,1+5,ofi,low,easy,low,low,binary indicator: is i the most aggressive buyer?
F052,csec_argmin_ofi,cross_sectional,argmin_k(OFI[k]) == i ? 1 : 0,paper,Alpha101 ts_argmin,1+5,ofi,low,easy,low,low,binary indicator: most aggressive seller
F053,csec_std_returns,cross_sectional,std(logret_W20[0..4]) -> scalar broadcast,paper,Hou-Robinson realized cov,5,logret,medium,easy,low,low,market dispersion (volatility regime)
F054,csec_mean_ofi,cross_sectional,mean(OFI[0..4]) -> scalar broadcast,paper,Cross-Impact 2023,5,ofi,medium,easy,low,low,market-wide OFI (commonality)
F055,csec_sum_ofi,cross_sectional,sum(OFI[0..4]),paper,Cont multi-asset commonality,5,ofi,medium,easy,low,low,total order flow imbalance
F056,csec_mean_imb1,cross_sectional,mean(imb1[0..4]),paper,Stoikov 2017,5,imb1,medium,easy,low,low,market-wide imbalance level
F057,csec_max_minus_min_mid,cross_sectional,max(mid[0..4]) - min(mid[0..4]),paper,Alpha101 #4 (ts_high - ts_low),5,mid_price,low,easy,medium,low,cross-sym mid dispersion
F058,csec_corr_rank_mid_size,cross_sectional,corr(rank(mid) rank(size)) across 5 sym,paper,Alpha101 #6 (correlation),5,mid+size,low,medium,medium,low,Alpha101-style rank correlation
F059,csec_max_share_ofi,cross_sectional,OFI[i] / max(|OFI[0..4]|),paper,Cross-Impact 2023 normalize,1+5,ofi,medium,easy,low,low,scaled OFI relative to most active
F060,csec_share_volume,cross_sectional,(bidsz1[i]+asksz1[i]) / sum_k(bidsz1[k]+asksz1[k]),paper,Multi-asset commonality,1+5,size,medium,easy,low,low,share of total volume
F061,csec_neutralized_ret_W20,cross_sectional,logret_W20[i] - mean(logret_W20),paper,Numerai signals neutralize,1+5,logret_W20,high,easy,low,low,market-neutral return
F062,csec_neutralized_ret_W5,cross_sectional,logret_W5[i] - mean(logret_W5),paper,Avellaneda-Lee 2010,1+5,logret_W5,high,easy,low,low,short-window market-neutral
F063,csec_neutralized_ret_inst,cross_sectional,instret[i] - mean(instret),paper,Numerai signals,1+5,inst_logret,high,easy,low,low,instantaneous market-neutral
F064,csec_betareg_resid_ret_W20,cross_sectional,logret_W20[i] - beta_i * mean(logret_W20),paper,Hasbrouck VAR price discovery,1+5,logret_W20,medium,medium,medium,low,beta-neutral residual (assumes per-sym beta hard at test);simplified to mean-subtract
F065,csec_skew_ret,cross_sectional,skew(logret_W20[0..4]),paper,Hou-Engle cross-section,5,logret,low,easy,medium,low,cross-section return skewness
F066,csec_kurt_ret,cross_sectional,kurtosis(logret_W20[0..4]),paper,Hou-Engle 2002,5,logret,low,easy,medium,low,cross-section kurtosis
F067,pair_OFIcross_W20,pair_cross_impact,OFI_W20[i] passed to predict sym j's mid change,paper,Cross-Impact OFI 2023,2,ofi_W20,high,medium,low,low,lagged cross-OFI as feature for sym i (modeled as 10 pair cross terms)
F068,pair_OFIsum_W20,pair_cross_impact,OFI_W20[i] + OFI_W20[j] (joint pressure),paper,Cont commonality,2,ofi_W20,medium,easy,low,low,joint OFI signal in pair
F069,pair_OFIprod_signed_W20,pair_cross_impact,sign(OFI_W20[i]) * sign(OFI_W20[j]),paper,Cross-Impact,2,ofi_W20,low,easy,low,low,binary co-direction indicator
F070,pair_imb1_prod,pair_cross_impact,imb1[i] * imb1[j],paper,Alpha101 product features,2,imb1,medium,easy,low,low,interaction of top-imb1 between syms
F071,pair_imb1_xor,pair_cross_impact,sign(imb1[i]) * sign(imb1[j]),paper,Alpha101 sign,2,imb1,low,easy,low,low,binary alignment of imbalances
F072,pair_logret_prod,pair_cross_impact,logret_W20[i] * logret_W20[j],paper,Hou-Robinson realized cov,2,logret_W20,medium,easy,medium,low,product = realized covariance (cross sect ts removed)
F073,pair_logret_inst_prod,pair_cross_impact,logret_inst[i] * logret_inst[j],paper,Hou-Robinson 2004,2,logret_inst,medium,easy,low,low,instant pair cov
F074,pair_kyle_ratio,pair_cross_impact,kyleinv[i] / (kyleinv[j] + eps),paper,Hasbrouck 1991,2,kyleinv,low,medium,high,medium,impact-coef ratio; high sym variance
F075,pair_spread_max_min,relative,max(spread[i] spread[j]) / min(spread[i] spread[j]),blog,Quantstrategy.io,2,spread,low,easy,medium,low,relative liquidity gap
F076,pair_rv_min_max,relative,RV[i] - max(RV[0..4]),paper,Alpha101 ts_max style,1+5,realized_vol,low,easy,medium,low,distance to top vol
F077,pair_mid_distance,relative,abs(mid[i] - mid[j]) / (mid[i]+mid[j])/2,paper,DTW + scale norm,2,mid_price,low,easy,medium,low,normalized scalar distance
F078,csec_demean_ofi_W5,cross_sectional,OFI_W5[i] - mean(OFI_W5[k] k=0..4),paper,Cross-Impact OFI 2023,1+5,ofi_W5,high,easy,low,low,market-residual OFI (commonality removed)
F079,csec_demean_ofi_W20,cross_sectional,OFI_W20[i] - mean(OFI_W20[k]),paper,Cross-Impact 2023,1+5,ofi_W20,high,easy,low,low,market-residual W20 OFI
F080,csec_demean_ofi_W60,cross_sectional,OFI_W60[i] - mean(OFI_W60[k]),paper,Cont 2014,1+5,ofi_W60,medium,easy,low,low,market-residual W60 OFI
F081,csec_demean_realvol,cross_sectional,RV[i] - mean(RV),paper,Hou-Engle realized cov,1+5,realized_vol,medium,easy,low,low,vol commonality removed
F082,csec_demean_bv,cross_sectional,BV[i] - mean(BV),paper,BNS bipower,1+5,bipower_var,medium,easy,low,low,bipower vol commonality
F083,csec_demean_intst,cross_sectional,intst[i] - mean(intst),paper,VPIN normalized,1+5,intst,medium,easy,medium,low,intensity demean
F084,csec_demean_spread,cross_sectional,spread[i] - mean(spread),paper,Roll 1984 / Alphalens,1+5,spread,medium,easy,low,low,spread demean
F085,csec_demean_microprice,cross_sectional,microprice[i] - mean(microprice),paper,Stoikov 2017,1+5,microprice,medium,easy,low,low,microprice demean
F086,csec_demean_wmp_balance,cross_sectional,wmp_balance[i] - mean(wmp_balance),paper,Stoikov / Optiver,1+5,wmp_balance,medium,easy,low,low,WMP balance demean
F087,pair_xcorr_OFI_W5_W20,pair_cross_impact,OFI_W5[i] - OFI_W20[j] (lead-lag proxy),paper,DeltaLag 2025,2,ofi,medium,medium,low,low,asymmetric window pair (lead-lag-proxy without time)
F088,pair_xcorr_ret_W5_W20,pair_cross_impact,logret_W5[i] - logret_W20[j],paper,Lead-lag arbitrage Li-Chen 2025,2,logret,medium,medium,low,low,asym window return diff
F089,pair_lead_lag_imb_idx,pair_cross_impact,imb1[i]_current vs imb1[j]_using older W,paper,Hayashi-Yoshida lead-lag,2,imb1,low,medium,low,low,asym imb1 (proxy for HY lead-lag)
F090,csec_mean_ret_lag_W5,cross_sectional,mean(logret_W5[k]) - logret_W5[i] (lead-lag proxy),paper,Sirignano-Cont 2019,1+5,logret_W5,medium,easy,low,low,how much the market leads sym i (in W5)
F091,csec_share_OFI_per_kyleinv,cross_sectional,OFI[i] / (kyleinv[i]+eps) - mean across syms,paper,Kyle 1985 + commonality,1+5,ofi+kyleinv,medium,medium,medium,low,impact-normalized OFI vs market
F092,csec_corr_imb1_pair,cross_sectional,pearson(imb1[i] across syms) at this t (cross-sym correlation),paper,Mantegna MST,5,imb1,low,medium,medium,low,instantaneous cross-sym corr (low signal noise)
F093,pair_corr_static_W,graph,corr coefficient pre-computed offline of returns over W days for each pair (static feat),paper,Mantegna 1999 MST,2,logret_history,medium,medium,low,medium,static cross-corr (frozen at train time); test time use train estimate
F094,csec_idx_clusterID,graph,sym i's cluster id from MST on training-day correlations (one-hot or embedding),paper,Mantegna 1999,1+5,logret_history,low,medium,medium,medium,static cluster assignment (may be sym=cluster trivially with 5 syms); low gain
F095,csec_eigvec_lead,graph,first PC weight of sym i in PCA on training-day returns,paper,Avellaneda-Lee 2010 PCA,1+5,logret_history,medium,medium,medium,medium,first eigenvector weight (factor exposure)
F096,csec_dtw_dist_avg,graph,mean DTW dist of sym i to all other syms (training-precomputed),paper,Sakoe-Chiba DTW + Mhfizt 2024,1+5,logret_history,low,hard,medium,medium,DTW-based similarity feature (frozen at train)
F097,csec_mst_centrality,graph,degree centrality of sym i in MST built on training-day return corr,paper,Mantegna 1999 / Coletti-Murgia 2016,1+5,logret_history,low,hard,medium,medium,network centrality measure (only 5 nodes = limited info)
F098,csec_pmfg_eccentricity,graph,eccentricity in PMFG,paper,Tumminello 2005 PMFG,1+5,logret_history,low,hard,medium,medium,planar maximally filtered graph (5 nodes; limited)
F099,csec_eig_centrality,graph,eigenvector centrality in train correlation graph,paper,Network centrality portfolio 2024,1+5,logret_history,low,hard,medium,medium,5 nodes makes this less informative
F100,csec_factor_resid_W20,cross_sectional,logret_W20[i] - sum(w_k * logret_W20[k]) k!=i (factor regression resid),paper,Hasbrouck 1995 / Avellaneda 2010,1+5,logret_W20,medium,medium,medium,low,residual after regressing on cross-sym factor
F101,csec_factor_resid_W60,cross_sectional,logret_W60[i] - market_proxy,paper,Sirignano-Cont 2019,1+5,logret_W60,medium,medium,medium,low,long-window factor residual
F102,pair_OFI_diff_sym_lvl5,pair_cross_impact,sum(OFI_lvl1..5[i]) - sum(OFI_lvl1..5[j]),paper,MLOFI Xu 2019,2,ofi_levels,high,easy,low,low,multi-level OFI diff (deeper than top-of-book)
F103,pair_OFI_diff_sym_lvl10,pair_cross_impact,sum(OFI_lvl1..10[i]) - sum(OFI_lvl1..10[j]),paper,MLOFI Xu 2019,2,ofi_levels,medium,easy,low,low,full-book OFI diff
F104,pair_mp_t_diff_minus_old,pair_lagless_lead_lag,mp_t_diff[i j] - mp_W5_old_diff[i j],paper,Avellaneda 2010 reversion,2,mp_t+mp_old,high,medium,low,low,detrended pair spread (sym i and j path divergence)
F105,pair_spread_pair_normalized,pair_lagless_lead_lag,(mid[i]-mid[j]) - mean over training-day of (mid[i]-mid[j]),paper,Engle-Granger cointegration,2,mid+train_stats,medium,medium,high,medium,detrend pair spread by historical mean (training-precomputed)
F106,pair_zscore_cointspread,pair_lagless_lead_lag,((mid[i]-beta*mid[j]) - mu_pair) / sigma_pair where beta mu sigma frozen,paper,Engle-Granger / Gatev 2006,2,mid+train_stats,medium,medium,high,medium,classic cointegration z-score (frozen params at train)
F107,csec_industry_anchor_proxy,cross_sectional,treat all 5 sym as 1 industry; relative to mean,paper,Numerai industry neutralize,5,raw_feat,medium,easy,low,low,simplest industry neutralize (5 syms = 1 group)
F108,sym_pair_outer_product_mid_imb,pair_interaction,(mid[i]-mid[j]) * (imb1[i] + imb1[j]),paper,Alpha101 #54 product,2,mid+imb1,medium,easy,low,low,mid-diff scaled by joint pressure
F109,sym_pair_outer_product_OFI_spread,pair_interaction,(OFI[i]-OFI[j]) * (spread[i]+spread[j]),paper,Alpha101 #7 product,2,ofi+spread,medium,easy,low,low,OFI diff weighted by joint spread
F110,sym_pair_outer_product_imb_depth,pair_interaction,(imb1[i] * depth[i]) - (imb1[j] * depth[j]),paper,Stoikov 2017 microprice,2,imb1+depth,high,easy,low,low,top-of-book pressure (size-weighted)
F111,sym_pair_outer_product_ret_vol,pair_interaction,(logret[i]-logret[j]) * (RV[i]+RV[j]),paper,Vol-scaled momentum,2,logret+RV,medium,easy,medium,low,vol-scaled relative return
F112,pair_OFI_signed_match_W5,pair_cross_impact,1 if sign(OFI_W5[i])==sign(OFI_W5[j]) else 0,paper,Cross-Impact co-direction,2,ofi_W5,low,easy,low,low,co-direction indicator
F113,pair_OFI_signed_match_W20,pair_cross_impact,1 if sign(OFI_W20[i])==sign(OFI_W20[j]) else 0,paper,Cont commonality,2,ofi_W20,low,easy,low,low,co-direction W20
F114,csec_top_minus_bottom_OFI,cross_sectional,top1(OFI[0..4]) - bottom1(OFI[0..4]) -> broadcast,paper,Avellaneda long-short signal,5,ofi,low,easy,low,low,cross-sym OFI spread (range)
F115,csec_dispersion_imb1,cross_sectional,std(imb1[0..4]) -> broadcast,paper,Optiver kaggle vol features,5,imb1,low,easy,low,low,cross-sym imb1 dispersion
F116,csec_dispersion_OFI,cross_sectional,std(OFI[0..4]) -> broadcast,paper,Cross-Impact dispersion,5,ofi,medium,easy,low,low,OFI dispersion (high when one sym leads)
F117,csec_disp_ret,cross_sectional,std(logret[0..4]) -> broadcast,paper,Hou-Robinson real covariance,5,logret,medium,easy,low,low,return dispersion (vol regime indicator)
F118,csec_disp_spread,cross_sectional,std(spread[0..4]) -> broadcast,paper,Roll / Alphalens,5,spread,low,easy,low,low,spread dispersion
F119,csec_disp_depth,cross_sectional,std(depth[0..4]) -> broadcast,paper,Multi-asset depth,5,depth,low,easy,low,low,depth dispersion
F120,csec_disp_realvol,cross_sectional,std(RV[0..4]) -> broadcast,paper,Optiver kaggle,5,realized_vol,medium,easy,low,low,vol dispersion
F121,csec_max_share_OFI_abs,cross_sectional,|OFI[i]| / sum(|OFI[k]|),paper,Cross-Impact share,1+5,ofi,medium,easy,low,low,share of total absolute OFI
F122,csec_max_share_volume_W20,cross_sectional,volume_W20[i] / sum(volume_W20[k]),paper,Multi-asset commonality,1+5,volume_W20,medium,easy,low,low,share of total W20 trading volume
F123,csec_quantile_rank_OFI_W5,cross_sectional,(rank(OFI_W5[i])-1)/(N-1) -> [0 1],paper,Alpha101 rank operator,1+5,ofi_W5,high,easy,low,low,quantile rank in cross-section
F124,csec_quantile_rank_imb1,cross_sectional,quantile rank imb1[i],paper,Alpha101 #5 rank,1+5,imb1,high,easy,low,low,top-imb quantile rank
F125,csec_quantile_rank_microprice,cross_sectional,quantile rank microprice[i],paper,Alpha101 + Stoikov,1+5,microprice,medium,easy,low,low,microprice rank
F126,csec_quantile_rank_realvol,cross_sectional,quantile rank RV[i],paper,Alpha101 #22 rank vol,1+5,realized_vol,medium,easy,low,low,vol rank
F127,csec_quantile_rank_spread,cross_sectional,quantile rank spread[i],paper,Alpha101 #51,1+5,spread,low,easy,low,low,spread rank
F128,csec_quantile_rank_intst,cross_sectional,quantile rank intst[i],paper,Alpha101 #45,1+5,intst,medium,easy,low,low,intensity rank
F129,csec_quantile_rank_depth,cross_sectional,quantile rank depth[i],paper,Alpha101 #44,1+5,depth,low,easy,low,low,depth rank
F130,pair_diff_microprice_rank,pair_cross_rank,rank(microprice[i]) - rank(microprice[j]),paper,Alpha101 rank diff,2,microprice,medium,easy,low,low,rank-space pair diff (robust)
F131,pair_diff_OFI_rank,pair_cross_rank,rank(OFI[i]) - rank(OFI[j]),paper,Alpha101 rank delta,2,ofi,high,easy,low,low,rank-OFI pair diff
F132,pair_diff_RV_rank,pair_cross_rank,rank(RV[i]) - rank(RV[j]),paper,Alpha101 rank vol,2,realized_vol,medium,easy,low,low,rank-vol diff
F133,csec_orderbook_skew,cross_sectional,sum_k(OFI[k]*sign(k-i)) (asymmetric weighted),paper,Cross-Impact directional,5,ofi,low,medium,medium,medium,position-aware OFI weighting (assumes sym order matters - careful)
F134,csec_market_kappa,cross_sectional,kurtosis(OFI[0..4]) -> broadcast,paper,Hou-Engle,5,ofi,low,easy,low,low,OFI kurtosis (extreme event indicator)
F135,csec_HHI_OFI,cross_sectional,sum_k (OFI[k]/sum_OFI)^2 -> concentration index,paper,Multi-asset Herfindahl,5,ofi,low,easy,low,low,HHI concentration of OFI
F136,csec_HHI_volume,cross_sectional,sum_k (volume[k]/total_volume)^2,paper,Multi-asset commonality,5,volume,low,easy,low,low,volume concentration
F137,pair_diff_ofi_tox_W5,pair_relative,ofi_tox_W5[i] - ofi_tox_W5[j],paper,VPIN 2012,2,ofi_tox,medium,easy,medium,low,toxicity diff (W5)
F138,pair_diff_ofi_tox_W20,pair_relative,ofi_tox_W20[i] - ofi_tox_W20[j],paper,VPIN 2012,2,ofi_tox,medium,easy,medium,low,toxicity diff (W20)
F139,sym_pair_attention_proxy,pair_interaction,softmax over -|mid[i]-mid[j]| weights for sym j around i,paper,Attention-Based MA-MIDPRED 2024 ICAIF,5,mid_price,medium,medium,low,low,closed-form attention proxy (avoid learning)
F140,sym_pair_attention_OFI,pair_interaction,softmax(-|OFI[i]-OFI[j]|) * OFI[j] -> aggregate signal,paper,Attention MA-MIDPRED 2024,5,ofi,medium,medium,low,low,attention-weighted OFI aggregation
F141,pair_diff_logspread_normalized,pair_relative,log(spread[i]) - log(spread[j]),paper,Roll 1984 + log,2,spread,low,easy,medium,low,log spread diff (scale-invariant)
F142,pair_ratio_RV_pair,pair_relative,RV[i] / (RV[j]+eps),paper,GARCH cross-asset Engle,2,realized_vol,low,easy,medium,low,vol ratio
F143,csec_iqr_OFI,cross_sectional,IQR(OFI[0..4]) -> broadcast,paper,Robust dispersion,5,ofi,low,easy,low,low,IQR-based dispersion (outlier-robust)
F144,csec_mad_OFI,cross_sectional,MAD(OFI[0..4]) -> broadcast,paper,Robust dispersion,5,ofi,low,easy,low,low,MAD-based dispersion
F145,csec_demean_logret_W5,cross_sectional,logret_W5[i] - mean(logret_W5),paper,Numerai era-neutralize,1+5,logret_W5,high,easy,low,low,short-window market-neutral return
F146,csec_demean_logret_W60,cross_sectional,logret_W60[i] - mean(logret_W60),paper,Avellaneda mean-reversion,1+5,logret_W60,medium,easy,low,low,long-window neutral
F147,csec_demean_microprice_imb,cross_sectional,(microprice[i]-mid[i]) - mean over syms,paper,Stoikov 2017,1+5,microprice,medium,easy,low,low,microprice-mid gap demeaned
F148,pair_diff_wap_balance_12,pair_relative,wap_balance_12[i] - wap_balance_12[j],paper,Stoikov / Optiver WAP balance,2,wmp_balance,medium,easy,low,low,WAP balance diff (already a feature; pair diff)
F149,pair_diff_kyle_W50,pair_relative,Kyle_W50[i] - Kyle_W50[j],paper,Kyle 1985,2,kyle_W50,low,easy,high,medium,Kyle lambda diff; high sym variance flagged
F150,pair_diff_kyle_W100,pair_relative,Kyle_W100[i] - Kyle_W100[j],paper,Kyle 1985,2,kyle_W100,low,easy,high,medium,Kyle W100 diff (sym-fragile)
F151,csec_demean_wmp_balance_lvl,cross_sectional,wmp_lvl5[i] - mean(wmp_lvl5),paper,Stoikov microprice,1+5,wmp_lvl5,medium,easy,low,low,deep-level WMP demean
F152,csec_demean_imb1,cross_sectional,imb1[i] - mean(imb1),paper,Stoikov + commonality,1+5,imb1,high,easy,low,low,imb1 commonality removed
F153,csec_demean_kyleinv,cross_sectional,kyleinv[i] - mean(kyleinv),paper,Kyle inv + commonality,1+5,kyleinv,low,easy,medium,low,kyleinv commonality removed
F154,csec_demean_BV_W30,cross_sectional,BV_W30[i] - mean(BV_W30),paper,BNS bipower + commonality,1+5,bipower_W30,medium,easy,low,low,bipower commonality removed
